Kategorie;Marketing-Aktivität;Einsatz (Marke/Produkt);Zielgruppe;Beschreibung / Nutzen;Fragebogen
  Produkt & E-Commerce;;;;;
;Produktfreisteller (weisser Hintergrund);Produkt;B2C;Standard für Online-Shops und Kataloge;Fragebogen B
;Lifestyle-Produktfotos (im Kontext);Produkt;B2C;Produkt in echter Verwendung zeigen;Fragebogen B
;Detailaufnahmen / Makrofotografie;Produkt;Beide;Qualität und Details sichtbar machen;Fragebogen B
;Packagingfotografie;Produkt;Beide;Verpackung professionell in Szene setzen;Fragebogen B
  Marke & Unternehmenskommunikation;;;;;
;Mitarbeiterportraits / Team-Fotoshooting;Marke;Beide;Menschliches Gesicht der Marke zeigen;Fragebogen A
;Unternehmens- & Büroaufnahmen;Marke;Beide;Vertrauen durch transparente Einblicke;Fragebogen A
;Eventfotografie;Marke;Beide;Events dokumentieren und kommunizieren;Fragebogen A
;Imagefotos für Website & Print;Marke;Beide;Visuelles Fundament für alle Marketingmittel;Fragebogen A
  Social Media & Content;;;;;
;Content-Shooting für Social-Media-Redaktionsplan;Marke / Produkt;Beide;Batch-Produktion von Posts für Wochen im Voraus;Fragebogen A & B
;Foto-Ads für Meta / LinkedIn;Produkt / Dienstleistung;Beide;Werbeanzeigen mit professionellen Fotos;Fragebogen B
;Recruiting-Fotos (Employer Branding);Marke;Beide;Authentische Einblicke für Stelleninserate;Fragebogen A
  Gastronomie & Lifestyle;;;;;
;Food-Fotografie (Menü / Website / Social Media);Produkt;B2C;Gerichte appetitlich in Szene setzen;Fragebogen B
;Architektur- & Interieur-Fotografie;Marke / Produkt;Beide;Hotels / Restaurants / Büros professionell präsentieren;Fragebogen A & B
