Kategorie;Marketing-Aktivität;Einsatz (Marke/Produkt);Zielgruppe;Beschreibung / Nutzen;Fragebogen
  Werbemittel;;;;;
;Flyer & Faltblätter (DIN A4 / A5 / DL);Marke / Produkt;Beide;Klassisches Werbemittel für lokale Präsenz und Events;Fragebogen A & B
;Plakate & Roll-ups für Messen / Events;Marke / Produkt;Beide;Sichtbarkeit am Point of Contact;Fragebogen A & B
;Banner & Aussenwerbeformate (Citylight / Billboard);Marke;B2C;Massenreichweite im öffentlichen Raum;Fragebogen A
;Inserate für Zeitungen & Fachmagazine;Marke / Produkt;Beide;Zielgruppenspezifische Printpräsenz;Fragebogen A & B
  Unternehmenskommunikation;;;;;
;Broschüren & Kataloge;Marke / Produkt;Beide;Ausführliche Präsentation von Angebot und Marke;Fragebogen A & B
;Jahresbericht / Geschäftsbericht;Marke;B2B;Professionelle Darstellung für Investoren und Partner;Fragebogen A
;Präsentationsvorlagen (PowerPoint / Keynote);Marke;Beide;Einheitliches Erscheinungsbild in Präsentationen;Fragebogen A
;Corporate Stationery (Briefpapier / Visitenkarten);Marke;Beide;Professioneller erster Eindruck im Geschäftsalltag;Fragebogen A
  Packaging & POS;;;;;
;Produktverpackung gestalten;Produkt;B2C;Kaufentscheid am Regal oder im Shop beeinflussen;Fragebogen B
;Etiketten & Aufkleber;Produkt;Beide;Produktkennzeichnung und Markenidentität;Fragebogen B
;POS-Displays & Regalbeschriftungen;Produkt;B2C;Sichtbarkeit am Point of Sale erhöhen;Fragebogen B
;Give-aways & Werbeartikel;Marke;Beide;Physische Markenpräsenz im Alltag der Zielgruppe;Fragebogen A
  Marke & CI/CD;;;;;
;Logo-Entwicklung (Print-gerecht);Marke;Beide;Basis der visuellen Identität;Fragebogen A
;CI/CD-Manual erstellen;Marke;Beide;Verbindliche Designvorgaben für alle Materialien;Fragebogen A
;Styleguide & Designsystem (Print);Marke;Beide;Konsistenz über alle Druckmaterialien sichern;Fragebogen A
