Kategorie;Marketing-Aktivität;Einsatz (Marke/Produkt);Zielgruppe;Beschreibung / Nutzen;Fragebogen
  Social Media & Content;;;;;
;Kurzvideos Instagram Reels / TikTok / Shorts;Social Media;Beide;Schnelle Aufmerksamkeit & Reichweite auf Social-Media-Plattformen;Fragebogen A & B
;Produktvideo (Demo / Unboxing / Erklärvideo);Produkt / Dienstleistung;Beide;Zeigt Produkt im Einsatz, steigert Kaufvertrauen;Fragebogen B
;Behind-the-Scenes Video;Marke;Beide;Employer Branding und Authentizität der Marke;Fragebogen A
;Testimonial- & Kundenreferenzvideo;Produkt / Dienstleistung;Beide;Sozialer Beweis, stärkt Vertrauen bei Neukunden;Fragebogen B
;Event-Recap / Nachrichten-Video;Marke;Beide;Dokumentation von Firmen- und Branchenevents;Fragebogen A
  Werbung & Kampagnen;;;;;
;Video-Ad für Meta (Facebook / Instagram);Produkt / Dienstleistung;B2C;Direkte Conversion-Kampagne auf Social Media;Fragebogen B
;Video-Ad für TikTok;Marke / Produkt;B2C;Reichweitenkampagne bei jüngerer Zielgruppe;Fragebogen A & B
;YouTube Pre-Roll Ad (6–15 Sek.);Marke / Produkt;Beide;Schnelle Markenpräsenz vor relevantem Content;Fragebogen A & B
;Retargeting-Video-Ad;Produkt / Dienstleistung;Beide;Rückholung von Website-Besuchern die nicht gekauft haben;Fragebogen B
  Marke & Unternehmenskommunikation;;;;;
;Imagefilm / Unternehmensfilm;Marke;Beide;Langfristiges Herzstück der Markenkommunikation;Fragebogen A
;CEO / Gründer-Storytelling Video;Marke;Beide;Persönliche Marke stärken, Vertrauen aufbauen;Fragebogen A
;Recruiting-Video (Employer Branding);Marke;B2B;Neue Mitarbeitende gewinnen;Fragebogen A
;Messe- / Eventfilm;Marke;Beide;Professionelle Dokumentation von Events;Fragebogen A
  Web & Digital;;;;;
;Hero-Video für Website-Header;Marke / Produkt;Beide;Erster visueller Eindruck auf der Website;Fragebogen A & B
;Erklärfilm / Animiertes Erklärvideo;Produkt / Dienstleistung;Beide;Komplexe Produkte verständlich erklären;Fragebogen B
;Produkt-Slideshow mit Bewegtbild;Produkt;B2C;E-Commerce und Landing Pages;Fragebogen B
