Kategorie;Marketing-Aktivität;Einsatz (Marke/Produkt);Zielgruppe;Beschreibung / Nutzen;Fragebogen
  Social Media;;;;;
;Redaktionsplan erstellen & umsetzen;Marke / Produkt;Beide;Konsistente Präsenz auf allen relevanten Kanälen;Fragebogen A & B
;Caption Writing / Texte für Posts;Marke / Produkt;Beide;Tonalitätsgerechte Texte die Engagement erzeugen;Fragebogen A & B
;Story-Konzepte & Story-Serien;Marke / Produkt;B2C;Kurzformate für tägliche Sichtbarkeit;Fragebogen A & B
;Community Management (Kommentare / DMs);Marke;B2C;Aktive Pflege der Follower-Beziehung;Fragebogen A
;Hashtag-Strategie & Posting-Rhythmus;Marke / Produkt;Beide;Reichweite und Auffindbarkeit erhöhen;Fragebogen A & B
  Blog & SEO-Content;;;;;
;SEO-Blogartikel schreiben;Marke / Produkt;Beide;Organischen Traffic über Google aufbauen;Fragebogen A & B
;Gastbeiträge für Branchenportale;Marke;Beide;Autorität und Backlinks aufbauen;Fragebogen A
;FAQ-Seiten / Wissensartikel;Produkt / Dienstleistung;Beide;Häufige Kundenfragen beantworten und SEO stärken;Fragebogen B
  E-Mail & Newsletter;;;;;
;Newsletter-Konzept & regelmässige Ausgaben;Marke;Beide;Direktkanal zu bestehenden Kunden und Interessenten;Fragebogen A
;Willkommens-E-Mail-Sequenz (Onboarding-Flow);Produkt / Dienstleistung;Beide;Neue Kunden/Leads professionell abholen;Fragebogen B
;Reaktivierungskampagne für inaktive Kontakte;Produkt / Dienstleistung;Beide;Schlafende Leads und Kunden wieder aktivieren;Fragebogen B
  Kampagnen & Werbung;;;;;
;Ad-Copywriting (Google / Meta / LinkedIn Ads);Produkt / Dienstleistung;Beide;Texte die klicken und konvertieren;Fragebogen B
;Landingpage-Texte (Conversion Copywriting);Produkt / Dienstleistung;Beide;Besucher zu Kunden machen;Fragebogen B
;Produktbeschreibungen für Shop;Produkt;B2C;SEO-optimierte Texte die Kaufentscheid fördern;Fragebogen B
  Strategie;;;;;
;Content-Strategie & Redaktionskalender aufsetzen;Marke;Beide;Langfristiger Plan für alle Content-Aktivitäten;Fragebogen A
;Tonalitäts- & Sprachguidelines erstellen;Marke;Beide;Einheitliche Kommunikation über alle Kanäle;Fragebogen A
;Wettbewerbsanalyse & Positionierungsempfehlung;Marke / Produkt;Beide;Differenzierung von Mitbewerbern sicherstellen;Fragebogen A & B
