Kategorie;Marketing-Aktivität;Einsatz (Marke/Produkt);Zielgruppe;Beschreibung / Nutzen;Fragebogen
  Digital Design;;;;;
;Website-Design / UI-UX (Figma-Mockup);Marke / Produkt;Beide;Visuelles Konzept vor der Programmierung;Fragebogen A & B
;Landingpage-Design;Produkt / Dienstleistung;Beide;Conversion-optimiertes Design für Kampagnenseiten;Fragebogen B
;E-Mail-Template-Design (Newsletter-Layout);Marke / Produkt;Beide;Professionelles Layout für E-Mail-Kampagnen;Fragebogen A & B
;Banner-Ads (Google Display / Programmatic);Marke / Produkt;Beide;Werbeanzeigen für das Google Display-Netzwerk;Fragebogen A & B
  Social Media Design;;;;;
;Social-Media-Templates (Feed / Stories / Covers);Marke / Produkt;Beide;Wiederverwendbare Templates für konsistenten Auftritt;Fragebogen A & B
;Infografiken für Social Media & Blog;Marke / Produkt;Beide;Komplexe Infos visuell verständlich machen;Fragebogen A & B
;Animierte GIFs / einfache Motion Graphics;Marke / Produkt;Beide;Mehr Aufmerksamkeit im Feed durch Bewegung;Fragebogen A & B
  Marke & CI/CD;;;;;
;Logo-Entwicklung (Digital-First);Marke;Beide;Basis der digitalen visuellen Identität;Fragebogen A
;Brand-Guidelines (Farben / Schriften / Abstände);Marke;Beide;Einheitliches Erscheinungsbild digital sichern;Fragebogen A
;Icon-Sets & Illustrationen;Marke / Produkt;Beide;Individuelle Bildsprache statt Stockmaterial;Fragebogen A & B
;Styleguide für digitale Anwendungen;Marke;Beide;Designsystem für Website / App / Plattform;Fragebogen A
  Kampagnen;;;;;
;Key Visual für digitale Kampagne;Marke / Produkt;Beide;Visuelles Herzstück einer Marketingkampagne;Fragebogen A & B
;Werbemittel-Set Google / Meta Ads (alle Formate);Marke / Produkt;Beide;Alle nötigen Formate für eine Kampagne in einem Paket;Fragebogen A & B
;Pitch-Deck / Präsentationsdesign (digital);Marke;B2B;Professionelle Unterlagen für Investoren und Partner;Fragebogen A
