Fragebogen;Frage;Antwort;Empfohlene Freelancer-Rolle;Begründung
A & B;CI/CD vorhanden?;Nein — wir brauchen ein neues CI/CD;Web-Grafiker + Print-Grafiker;Aufbau kompletter visueller Identität nötig
A & B;CI/CD vorhanden?;Teilweise — nur Logo;Web-Grafiker oder Print-Grafiker;Guidelines und Styleguide entwickeln
A;Markenziel;Markenbekanntheit aufbauen;Content Creator + Web-Grafiker + Videograf;Reichweite via Content und bezahlte Kanäle
A;Markenziel;Employer Branding;Fotograf + Videograf + Content Creator;Authentische Team- und Firmeneinblicke
A;Markenziel;Community aufbauen;Content Creator;Redaktionsplan, Community Management
A;Ton & Persönlichkeit;Professionell & seriös;Fotograf + Print-Grafiker;Hochwertige visuelle Materialien
A;Ton & Persönlichkeit;Verspielt & kreativ;Videograf + Web-Grafiker;Bewegtbild und dynamisches Design
A;Kanäle;LinkedIn;Content Creator + Web-Grafiker;B2B-Content und professionelle Ads
A;Kanäle;TikTok / Instagram;Videograf + Content Creator;Kurzvideos und Social-Media-Content
B;Marketingziel;Erstverkäufe / Launch;Videograf + Web-Grafiker + Webprogrammierer;Landingpage + Hero-Video + Ads
B;Marketingziel;Online-Verkäufe steigern;Webprogrammierer + Content Creator;CRO, SEO, Produkttexte optimieren
B;Marketingziel;Lokale Nachfrage ankurbeln;Print-Grafiker + Fotograf;Flyer, Plakate, lokale Bildmaterialien
B;Marketingziel;Leads generieren;Content Creator + Webprogrammierer;Landingpage, Lead-Formular, Ads-Copy
B;Gewünschte Leistungen;Foto & Video;Fotograf + Videograf;Produktionsleistung direkt zuordenbar
B;Gewünschte Leistungen;SEO & Blogartikel;Content Creator + Webprogrammierer;Text + technisches SEO kombinieren
B;Gewünschte Leistungen;Print-Design;Print-Grafiker;Alle Druckmaterialien aus einer Hand
B;Gewünschte Leistungen;Landing Page;Web-Grafiker + Webprogrammierer;Design + Umsetzung trennen oder kombinieren
B;Gewünschte Leistungen;Übersetzungen;Content Creator (mehrsprachig);Texte in Zielsprache lokalisieren
A & B;Zusammenarbeit;Fertiger Plan mit Freelancern;Alle passenden Rollen (Budget-gesteuert);KI wählt optimale Kombination im Budgetrahmen
A & B;Zusammenarbeit;2–3 Vorschläge selbst auswählen;Alle passenden Rollen (ohne Budget-Fix);Kunde prüft Profile und wählt selbst
